ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,QTR_ID,MONTH_ID,YEAR_ID,MSRP
10107,30,95.7,2,1,2,2003,95
10121,34,81.35,5,2,5,2003,95
10134,41,94.74,2,3,7,2003,95
10145,45,83.26,6,3,8,2003,95
10159,49,100.0,14,4,10,2003,95
10168,36,96.66,1,4,10,2003,95
10180,29,86.13,9,4,11,2003,95
10188,48,100.0,1,4,11,2003,95
10201,22,98.57,2,4,12,2003,95
10211,41,100.0,14,1,1,2004,95
10223,37,100.0,1,1,2,2004,95
10237,23,100.0,7,2,4,2004,95
10251,28,100.0,2,2,5,2004,95
10263,34,100.0,2,2,6,2004,95
10275,45,92.83,1,3,7,2004,95
10285,36,100.0,6,3,8,2004,95
10299,23,100.0,9,3,9,2004,95
10309,41,100.0,5,4,10,2004,95
10318,46,94.74,1,4,11,2004,95
10329,42,100.0,1,4,11,2004,95
10341,41,100.0,9,4,11,2004,95
10361,20,72.55,13,4,12,2004,95
10375,21,34.91,12,1,2,2005,95
10388,42,76.36,4,1,3,2005,95
10403,24,100.0,7,2,4,2005,95
10417,66,100.0,2,2,5,2005,95
10103,26,100.0,11,1,1,2003,214
10112,29,100.0,1,1,3,2003,214
10126,38,100.0,11,2,5,2003,214
10140,37,100.0,11,3,7,2003,214
10150,45,100.0,8,3,9,2003,214
10163,21,100.0,1,4,10,2003,214
10174,34,100.0,4,4,11,2003,214
10183,23,100.0,8,4,11,2003,214
10194,42,100.0,11,4,11,2003,214
10206,47,100.0,6,4,12,2003,214
10215,35,100.0,3,1,1,2004,214
10228,29,100.0,2,1,3,2004,214
10245,34,100.0,9,2,5,2004,214
10258,32,100.0,6,2,6,2004,214
10270,21,100.0,9,3,7,2004,214
10280,34,100.0,2,3,8,2004,214
10291,37,100.0,11,3,9,2004,214
10304,47,100.0,6,4,10,2004,214
10312,48,100.0,3,4,10,2004,214
10322,40,100.0,1,4,11,2004,214
10333,26,100.0,3,4,11,2004,214
10347,30,100.0,1,4,11,2004,214
10357,32,100.0,10,4,12,2004,214
10369,41,100.0,2,1,1,2005,214
10381,36,100.0,3,1,2,2005,214
10391,24,100.0,4,1,3,2005,214
10411,23,100.0,9,2,5,2005,214
10424,50,100.0,6,2,5,2005,214
10107,39,99.91,5,1,2,2003,118
10120,29,96.34,3,2,4,2003,118
10134,27,100.0,5,3,7,2003,118
10145,37,100.0,9,3,8,2003,118
10159,37,100.0,17,4,10,2003,118
10168,27,100.0,4,4,10,2003,118
10180,42,100.0,12,4,11,2003,118
10188,38,96.34,4,4,11,2003,118
10201,24,100.0,5,4,12,2003,118
10210,23,100.0,2,1,1,2004,118
10223,47,100.0,4,1,2,2004,118
10236,22,100.0,1,2,4,2004,118
10251,44,100.0,5,2,5,2004,118
10263,40,100.0,5,2,6,2004,118
10275,22,100.0,4,3,7,2004,118
10285,47,100.0,9,3,8,2004,118
10298,39,96.34,1,3,9,2004,118
10308,34,100.0,2,4,10,2004,118
10318,45,100.0,4,4,11,2004,118
10329,20,100.0,2,4,11,2004,118
10339,40,68.92,4,4,11,2004,118
10361,26,51.15,8,4,12,2004,118
10374,39,100.0,5,1,2,2005,118
10388,50,44.51,5,1,3,2005,118
10402,45,100.0,1,2,4,2005,118
10417,45,100.0,5,2,5,2005,118
10107,27,100.0,4,1,2,2003,193
10120,46,100.0,2,2,4,2003,193
10134,31,100.0,4,3,7,2003,193
10145,33,100.0,8,3,8,2003,193
10159,22,100.0,16,4,10,2003,193
10168,20,100.0,3,4,10,2003,193
10180,41,100.0,11,4,11,2003,193
10188,45,100.0,3,4,11,2003,193
10201,49,100.0,4,4,12,2003,193
10210,34,100.0,1,1,1,2004,193
10223,49,100.0,3,1,2,2004,193
10237,39,100.0,9,2,4,2004,193
10251,43,100.0,4,2,5,2004,193
10263,41,100.0,4,2,6,2004,193
10275,36,100.0,3,3,7,2004,193
10285,27,100.0,8,3,8,2004,193
10299,29,100.0,11,3,9,2004,193
10308,20,100.0,1,4,10,2004,193
10318,37,100.0,3,4,11,2004,193
10329,26,100.0,3,4,11,2004,193
10339,39,76.67,3,4,11,2004,193
10362,22,100.0,4,1,1,2005,193
10374,22,100.0,1,1,2,2005,193
10388,21,86.77,7,1,3,2005,193
10403,66,100.0,9,2,4,2005,193
10417,56,100.0,4,2,5,2005,193
